Sportart,Sportartengruppe,Jahr,Jahreskurse,Saisonkurse,Sammellager,Total Kurse,Angebote,Kleingruppe,Grossgruppe,Kursdauer in Min. 90,Kursdauer in Min. 90 2,Trainings pro Woche 1,Trainings pro Woche 2,Trainings pro Woche 3,Trainings pro Woche 4,Trainings pro Woche 5,Wettkampf-kategorie 0,Wettkampf-kategorie 1,Wettkampf-kategorie 2,Wettkampf-kategorie 3,Trainingslagertage,Knaben,Mädchen,Total Teilnehmer,Anzahl tätige Leiter,Leiteraktivitäten,J+S-Kurspauschale,Coach entschädigung,Total Auszahlungen
Bahn (Radsport),Radsport,2004,5,3,,8,5,1,7,0,8,4,4,0,0,0,1,3,4,0,40,78,39,117,19,706,14041,1124,15165
Baseball/Softball,Baseball/Softball,2004,0,17,,17,8,6,11,0,17,7,9,1,0,0,1,14,2,0,13,136,21,157,45,994,11010,880,11890
Basketball,Basketball,2004,463,449,,912,183,108,804,42,870,256,462,176,13,5,112,234,392,174,820,7511,4339,11850,1542,65421,1271990,101758,1373748
BMX (Radsport),Radsport,2004,8,12,,20,11,6,14,0,20,6,13,1,0,0,7,9,3,1,32,228,38,266,48,1141,21504,1721,23225
Curling,Curling,2004,0,46,,46,21,25,21,1,45,35,11,0,0,0,10,16,5,15,24,246,183,429,105,1838,20952,1575,22527
Eishockey,Eishockey,2004,468,334,,802,167,120,682,116,686,97,327,309,53,16,160,101,139,402,1897,12612,339,12951,2084,108368,1546567,123724,1670291
Eiskunstlauf/ Eistanz,Eislauf,2004,73,268,,341,79,204,137,242,99,190,71,42,26,12,167,84,55,35,551,193,2884,3077,649,23498,214662,17169,231831
Eisschnelllauf/ Short Track,Eislauf,2004,0,4,,4,3,4,0,1,3,2,1,1,0,0,3,0,1,0,0,9,16,25,6,148,1292,104,1396
Faustball,Turnen,2004,18,78,,96,39,28,68,7,89,61,30,3,2,0,10,36,25,25,158,760,347,1107,214,5745,81435,6514,87949
Fechten,Fechten,2004,65,79,,144,37,37,107,21,123,82,39,17,6,0,40,75,21,8,64,1286,549,1835,268,9867,134148,10735,144883
